INCOME STATEMENT,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Fiscal year is October-September. All values USD Millions.,2025,2024,2023,2022,2021,,,,
Sales/Revenue,"416,161","391,035","383,285","394,328","365,817",,,,
Sales Growth,6.43%,2.02%,-2.80%,7.79%,-,,,,
,,,,,,,,,
Cost of Goods Sold (COGS) incl. D&A,"220,960","210,352","214,137","223,546","212,981",,,,
COGS excluding D&A,"209,262","198,907","202,618","212,442","201,697",,,,
Depreciation & Amortization Expense,"11,698","11,445","11,519","11,104","11,284",,,,
Depreciation,"8,000","8,200","8,500","8,700","9,500",,,,
Amortization of Intangibles,"3,698","3,245","3,019","2,404","1,784",,,,
COGS Growth,5.04%,-1.77%,-4.21%,4.96%,-,,,,
,,,,,,,,,
Gross Income,"195,201","180,683","169,148","170,782","152,836",,,,
Gross Income Growth,8.04%,6.82%,-0.96%,11.74%,-,,,,
,,,,,,,,,
Gross Profit Margin,46.91%,-,-,-,-,,,,
SG&A Expense,"62,151","57,467","54,847","51,345","43,887",,,,
Research & Development,"34,550","31,370","29,915","26,251","21,914",,,,
Other SG&A,"27,601","26,097","24,932","25,094","21,973",,,,
SGA Growth,8.15%,4.78%,6.82%,16.99%,-,,,,
EBIT,"133,050","123,216","114,301","119,437","108,949",,,,
Non Operating Income/Expense,-321,269,-382,-228,60,,,,
,,,,,,,,,
Non-Operating Interest Income,-,-,"3,750","2,825","2,843",,,,
Interest Expense,-,-,"3,933","2,931","2,645",,,,
Interest Expense Growth,-,0.00%,34.19%,10.81%,-,,,,
Gross Interest Expense,-,-,"3,933","2,931","2,645",,,,
Pretax Income,"132,729","123,485","113,736","119,103","109,207",,,,
Pretax Income Growth,7.49%,8.57%,-4.51%,9.06%,-,,,,
,,,,,,,,,
Pretax Margin,31.89%,-,-,-,-,,,,
Income Tax,"20,719","29,749","16,741","19,300","14,527",,,,
Income Tax - Current Domestic,"13,167","7,297","11,015","9,409","9,877",,,,
Income Tax - Current Foreign,"8,891","25,483","8,750","8,996","9,424",,,,
Income Tax - Deferred Domestic,"-1,943","-3,378","-3,693","-2,181","-7,514",,,,
,,,,,,,,,
Income Tax - Deferred Foreign,604,347,669,"3,076","2,740",,,,
Consolidated Net Income,"112,010","93,736","96,995","99,803","94,680",,,,
Net Income,"112,010","93,736","96,995","99,803","94,680",,,,
Net Income Growth,19.50%,-3.36%,-2.81%,5.41%,-,,,,
,,,,,,,,,
Net Margin,26.92%,-,-,-,-,,,,
Net Income After Extraordinaries,"112,010","93,736","96,995","99,803","94,680",,,,
Net Income Available to Common,"112,010","93,736","96,995","99,803","94,680",,,,
EPS (Basic),7.47,6.08,6.13,6.11,5.61,,,,
EPS (Basic) Growth,22.71%,-0.82%,0.34%,8.89%,-,,,,
,,,,,,,,,
Basic Shares Outstanding,"14,949","15,344","15,744","16,216","16,701",,,,
EPS (Diluted),7.46,6.08,6.13,6.11,5.61,,,,
EPS (Diluted) Growth,22.71%,-0.82%,0.34%,8.89%,-,,,,
,,,,,,,,,
Diluted Shares Outstanding,"15,005","15,408","15,813","16,326","16,865",,,,
EBITDA,"144,748","134,661","125,820","130,541","120,233",,,,
EBITDA Growth,7.49%,7.03%,-3.62%,8.57%,-,,,,
,,,,,,,,,
EBITDA Margin,34.78%,-,-,-,-,,,,
EBIT,"133,050","123,216","114,301","119,437","108,949",,,,
